,Region,Condition,Rooms,Rent,Year_Construction,Space
363,Tiergarten,first_time_use,3.0,2170.0,2019,105.0
364,Charlottenburg,well_kept,2.0,1040.0,1956,57.0
365,Prenzlauer,refurbished,2.0,975.0,1908,56.0
366,Tiergarten,first_time_use,3.5,1999.47,2019,103.0
367,Tiergarten,first_time_use,2.0,1490.0,2019,64.14
368,Charlottenburg,well_kept,2.0,1200.0,1918,72.0
369,Tiergarten,well_kept,5.0,2040.0,1908,136.0
370,Wilmersdorf,first_time_use_after_refurbishment,2.0,512.93,1986,41.03
371,Wilmersdorf,first_time_use_after_refurbishment,2.0,1250.0,1953,62.5
372,Charlottenburg,no_information,3.0,1600.0,1910,90.0
373,Prenzlauer,mint_condition,3.5,2799.0,2014,105.0
374,Köpenick,mint_condition,3.0,1160.0,2019,65.0
375,Köpenick,mint_condition,2.0,950.0,2017,60.72
376,Friedrichsfelde,first_time_use,4.0,1654.39,2020,85.32
377,Wilmersdorf,first_time_use,1.0,920.0,1958,42.0
378,Friedrichsfelde,first_time_use,1.0,993.96,2020,50.33
379,Kreuzberg,fully_renovated,3.0,4875.0,2010,195.0
380,Friedrichsfelde,first_time_use,3.0,1428.64,2020,73.72
381,Friedrichsfelde,first_time_use,2.0,984.4,2020,51.88
382,Friedrichsfelde,first_time_use,2.0,914.87,2020,48.56
383,Friedrichsfelde,first_time_use,2.0,776.47,2020,41.0
384,Friedrichsfelde,first_time_use,2.0,886.05,2020,47.04
385,Prenzlauer,modernized,1.0,950.0,1903,40.0
386,Mitte,first_time_use_after_refurbishment,4.0,2400.0,2020,108.0
387,Neukölln,no_information,1.0,379.95,1977,32.99
388,Wilmersdorf,refurbished,1.0,669.0,1963,35.0
389,Wilmersdorf,well_kept,3.0,1400.0,1963,72.0
390,Köpenick,first_time_use,1.0,558.06,2019,40.38
391,Wedding,fully_renovated,2.0,964.0,1961,51.41
392,Mitte,well_kept,1.0,924.44,2000,61.14
393,Mitte,mint_condition,2.0,1394.0,2016,52.0
394,Mitte,first_time_use,2.5,1632.54,2013,101.61
395,Neukölln,first_time_use,3.0,2202.0,2019,120.41
396,Wilmersdorf,well_kept,2.0,727.0,1991,59.2
397,Wedding,well_kept,1.0,427.0,1956,37.16
398,Charlottenburg,first_time_use,2.0,1266.28,2020,56.24
399,Prenzlauer,refurbished,1.0,475.0,1895,18.0
400,Charlottenburg,modernized,2.0,1700.0,1991,80.77
401,Kreuzberg,refurbished,4.0,2850.0,1895,127.0
402,Wedding,first_time_use,3.0,1452.8,2020,78.3
403,Mitte,mint_condition,2.0,1480.0,2017,48.0
404,Prenzlauer,well_kept,4.0,1395.0,1999,86.26
405,Mitte,mint_condition,2.0,1959.0,2017,85.0
406,Kreuzberg,modernized,4.0,2255.84,1988,136.53
407,Köpenick,refurbished,2.0,938.0,2013,61.46
408,Neukölln,refurbished,3.0,1650.0,1900,75.0
409,Neukölln,refurbished,2.0,1650.0,1900,77.0
410,Charlottenburg,modernized,5.0,2815.0,1890,175.0
411,Neukölln,refurbished,3.0,1650.0,1900,75.0
412,Friedrichsfelde,modernized,4.0,1161.0,1979,91.11
413,Charlottenburg,refurbished,3.0,2028.2,2016,115.48
414,Friedrichsfelde,no_information,2.0,563.91,1979,49.4
415,Friedrichsfelde,fully_renovated,2.0,642.77,1979,55.13
416,Neukölln,refurbished,2.0,1650.0,1900,77.0
417,Friedrichsfelde,fully_renovated,1.0,420.09,1979,29.48
418,Friedrichsfelde,fully_renovated,3.0,808.46,1979,74.9
419,Charlottenburg,modernized,1.0,620.0,1905,28.0
420,Tiergarten,modernized,4.0,2193.0,1984,115.48
421,Wilmersdorf,modernized,1.0,900.0,2015,42.3
422,Tiergarten,first_time_use,2.0,1231.23,2019,57.94
423,Kreuzberg,no_information,2.0,971.15,1987,64.63
424,Friedrichsfelde,mint_condition,2.0,991.19,2019,43.1
425,Friedrichsfelde,modernized,2.0,887.0,1979,67.88
426,Friedrichsfelde,modernized,4.5,1370.0,1979,106.1
427,Friedrichsfelde,first_time_use,1.0,690.0,2019,25.68
428,Neukölln,fully_renovated,2.0,712.0,1910,60.0
429,Friedrichsfelde,modernized,3.0,982.0,1979,71.41
430,Neukölln,modernized,3.0,1246.0,1994,80.79
431,Neukölln,first_time_use,3.0,1755.0,2018,92.0
432,Neukölln,first_time_use,2.0,1228.75,2018,65.0
433,Neukölln,first_time_use,3.0,1753.0,2018,92.0
434,Neukölln,first_time_use,2.0,1223.98,2018,66.0
435,Tiergarten,no_information,2.0,685.0,1903,57.08
436,Tiergarten,first_time_use,2.0,1432.6,2018,66.4
437,Prenzlauer,mint_condition,2.0,1530.0,2019,68.0
438,Mitte,first_time_use,2.0,2620.0,2018,75.95
439,Tiergarten,first_time_use,3.0,2484.62,2018,112.71
440,Tiergarten,first_time_use,2.0,1565.4,2018,66.4
441,Tiergarten,first_time_use,2.0,1780.9,2018,82.6
442,Tiergarten,first_time_use,3.0,2079.02,2018,106.36
443,Kreuzberg,first_time_use,2.0,1800.0,2020,70.49
444,Mitte,first_time_use,2.0,1635.0,2019,58.0
445,Wedding,no_information,1.0,768.0,2016,32.0
446,Mitte,fully_renovated,4.0,4800.0,1894,143.22
447,Friedrichsfelde,modernized,1.0,585.0,1984,36.94
448,Tiergarten,first_time_use,2.0,1413.03,2019,66.81
449,Charlottenburg,mint_condition,3.0,2300.0,2017,97.0
450,Köpenick,first_time_use,3.0,1380.05,2019,82.16
451,Wilmersdorf,first_time_use,1.0,1200.0,2020,31.0
452,Köpenick,first_time_use,1.0,811.1,2019,46.82
453,Kreuzberg,no_information,2.0,1609.1,2017,58.64
454,Charlottenburg,first_time_use_after_refurbishment,4.0,2320.0,1900,160.0
455,Köpenick,first_time_use,2.0,1030.0,2016,63.0
456,Neukölln,no_information,2.0,647.05,1982,59.02
457,Mitte,refurbished,3.0,3090.4,1892,154.52
458,Köpenick,first_time_use,2.0,816.49,2019,43.39
459,Prenzlauer,fully_renovated,1.0,699.3,1905,42.0
460,Köpenick,first_time_use,2.0,846.0,1886,62.59
461,Wilmersdorf,fully_renovated,2.5,1124.93,1906,82.25
462,Tiergarten,first_time_use,3.0,2807.0,2019,112.27
463,Mitte,refurbished,3.0,2892.25,1892,144.61
464,Mitte,mint_condition,2.5,2488.0,2014,90.0
465,Neukölln,well_kept,4.0,1749.32,1980,101.89
466,Tiergarten,first_time_use,4.0,3994.0,2019,160.0
467,Prenzlauer,well_kept,3.0,2708.0,1873,140.13
468,Friedrichsfelde,well_kept,4.0,1336.41,2019,102.88
